Region,Outlet Name,Location
Nairobi,Naivas Utawala,Utawala
Nairobi,Quickmart Express Utawala,Utawala
Nairobi,Quickmart Main Utawala,Utawala
Nairobi,Magunas Utawala,Utawala
Nairobi,Ottomatt Githunguri/Utawala,Utawala
Nairobi,Weacon Githunguri/Utawala,Utawala
Nairobi,Quickmart Embakasi,Embakasi
Nairobi,Naivas Nyayo Embakasi,Embakasi
Nairobi,Muhindi Mweusi Express ,Express
Nairobi,Muhindi Mweusi Transami,Transami
Nairobi,Waeconmatt Makuti,Makuti
Nairobi,Quickmart Pipeline,Pipeline
Nairobi,Quickmart Outering,Outer Ring Road
Nairobi,Naivas Tassia,Tassia
Nairobi,Muhindi Mweusi chapchap,Outer Ring Road
Nairobi,Muhindi Mweusi Pipeline,Pipeline
Nairobi,Quickmart Fedha,Fedha
Nairobi,Quickmart Donholm,Donholm
Nairobi,Muhindi Mweusi Tassia,Tassia
Nairobi,Waeconmatt Fedha,Fedha
Nairobi,Waeconmatt Tassia,Tassia
Nairobi,Quickmart Buruburu,Buruburu
Nairobi,Naivas T-square,Buruburu
Nairobi,Dimples Umoja,Umoja
Nairobi,Muhindi Mweusi Umoja,Umoja
Nairobi,Skymart Umoja Market,Umoja
Nairobi,Naivas Greenspan,Greenspan
Nairobi,Cleanshelf Shujaa,Shujaa
Nairobi,Naivas Eastgate,Eastgate
Nairobi,Skymart Kayole,Kayole
Nairobi,Muhindi Mweusi Kayole Soweto,Outer Ring Road
Nairobi,Naivas Komarock,Komarock
Nairobi,Cleanshelf Kmall,Kmall
Nairobi,Naivas Saika,Saika
Nairobi,Muhindi Mweusi -Junction,Junction
Nairobi,Magunas kayo junction,Outer Ring Road
Nairobi,Naivas Umoja,Umoja
Nairobi,Quickmart Outering 2,Outer Ring Road
Nairobi,Skymart Umoja 2,Outer Ring Road
Nairobi,Skymart Tena,Tena
Nairobi,Skymart Moi,Moi
Nairobi,Quickmart Ruai,Ruai
Nairobi,Weacon Kamulu,Kamulu
Nairobi,Otomatt Mutalia,Mutalia
Nairobi,Eastmatt Tala,Tala
Nairobi,Fastmatt Mtaani,Mtaani
Nairobi,Skymart Tala,Tala
Nairobi,Fastmatt Kipawa,Kipawa
Nairobi,Fastmatt Tala,Tala
Nairobi,Carrefour Eastleigh,Eastleigh
Nairobi,Naivas Buruburu,Buruburu
Nairobi,Naivas jogoo road,Outer Ring Road
Nairobi,Magunas jogoo road,Outer Ring Road
Nairobi,Naivas Ruai,Ruai
Nairobi,Ottomatt Mutalia,Mutalia
Nairobi,Waeconmatt kingori,kingori
Nairobi,Waeconmatt Joska,Joska
Nairobi,Waeconmatt malaa,malaa
Nairobi,Muhindi Mweusi chokaa,Outer Ring Road
Nairobi,Quickmart joska,joska
Nairobi,Naivas Super Centre,Centre
Nairobi,Naivas Old Machakos,Machakos
Nairobi,Quickmart Kitui,Kitui
Nairobi,Naivas kitui,kitui
Nairobi,Magunas Kitui,Kitui
Nairobi,Naivas Capital Centre,Mombasa Road
Nairobi,Naivas South C,South C
Nairobi,Cleanshelf South C,South C
Nairobi,Carrefour Nextgen,Nextgen
Nairobi,Muhindi Mweusi South B,Outer Ring Road
Nairobi,Naivas Mavoko,Mavoko
Nairobi,Chandarana Signature,Signature
Nairobi,Skymart Mlolongo,Mlolongo
Nairobi,Cleanshelf Greenhouse,Adams Arcade
Nairobi,Quickmart Mlolongo,Mlolongo
Nairobi,Chandarana Crystal,Crystal
Nairobi,Quickmart pioneer Machakos,Outer Ring Road
Nairobi,Quickmart Express Machakos,Machakos
Nairobi,Raphymart,Raphymart
Nairobi,Massmart,Massmart
Nairobi,Ngooni,Ngooni
Nairobi,Skymart Junction,Junction
Nairobi,Naivas Gateway Mall,Mombasa Road
Nairobi,Naivas Airport,Airport
Nairobi,Naivas Katani,Katani
Nairobi,Eastmatt Kitengela,Kitengela
Nairobi,Naivas Kitengela,Kitengela
Nairobi,Quickmart Kitengela,Kitengela
Nairobi,Eastmatt Kajiado,Kajiado
Nairobi,Powerstar Kitengela,Kitengela
Nairobi,Waeconmatt Kitengela,Kitengela
Nairobi,Carrefour South field,Outer Ring Road
Nairobi,Naivas Imaara,Imaara
Nairobi,Quickmart Mombasa rd,Outer Ring Road
Nairobi,Muhindi Mweusi Njenga,Njenga
Nairobi,Naivas Express Embakasi,Embakasi
Nairobi,Carrefour Ruiru,Ruiru
Nairobi,Quickmart Ruiru,Ruiru
Nairobi,Naivas Ananas,Ananas
Nairobi,Magunas Thika,Thika
Nairobi,Waeconmatt Jomoko,Jomoko
Nairobi,Muhindi Mweusi Weitaithie,Weitaithie
Nairobi,Chokamat juja,juja
Nairobi,Mathais Matco,Matco
Nairobi,Naivas Kahawa Sukari,Sukari
Nairobi,Quickmart Kahawa Sukari,Sukari
Nairobi,Naivas Githurai 45,Outer Ring Road
Nairobi,Cleanshelf Wendani,Wendani
Nairobi,Magunas Wendani,Wendani
Nairobi,Naivas Northview,Northview
Nairobi,Quickmart Thome,Thome
Nairobi,Muhindi Mweusi Kariobangi,Kariobangi
Nairobi,Leester pioneer,pioneer
Nairobi,Leester Githurai,Githurai
Nairobi,Naivas Lackey Summer,Summer
Nairobi,Quickmart OTC,OTC
Nairobi,Quickmart mfangano,mfangano
Nairobi,Eastmatt Mfangano,Mfangano
Nairobi,Mathais OTC,OTC
Nairobi,Eastmatt River road,Outer Ring Road
Nairobi,Quickmart pioneer,pioneer
Nairobi,Naivas Agakhan walk,Outer Ring Road
Nairobi,Naivas Ronald Ngala,Ngala
Nairobi,Chandarana Diamond,Diamond
Nairobi,Chandarana Highridge,Highridge
Nairobi,Naivas West,West
Nairobi,Naivas Ojijo,Ojijo
Nairobi,Naivas Mwanzi,Mwanzi
Nairobi,Quickmart West,West
Nairobi,Carrefour St Ellies CBD,Outer Ring Road
Nairobi,Naivas Lifestyle,Karen
